time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,reference.acceleration,reference.position,reference.velocity,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0.074,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.077,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.08,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.085,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.09,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.094,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.098,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.101,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.104,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.107,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.11,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.114,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.117,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
