time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,reference.acceleration,reference.position,reference.velocity,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0.092,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.095,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.098,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.101,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.105,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.108,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.111,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.114,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.118,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.121,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.124,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.127,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.131,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.134,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.137,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
0.14,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,1.000000013351432e-10,4.150000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999865889549,85,0,0,
